From,To,Times
Espoo,Espoo,31029
Espoo,Hameenlinna,4
Espoo,Helsinki,9739
Espoo,Joensuu,327
Espoo,Jyvaskyla,730
Espoo,Kotka,7
Espoo,Kuopio,899
Espoo,Lahti,8
Espoo,Lappeenranta,287
Espoo,Lohja,14
Espoo,Mikkeli,21
Espoo,Other,13532
Espoo,Oulu,954
Espoo,Pori,64
Espoo,Porvoo,30
Espoo,Rauma,24
Espoo,Tampere,2243
Espoo,Turku,2319
Espoo,Vaasa,64
Espoo,Vantaa,228
Hameenlinna,Espoo,8
Hameenlinna,Hameenlinna,485
Hameenlinna,Helsinki,232
Hameenlinna,Joensuu,2
Hameenlinna,Jyvaskyla,2
Hameenlinna,Kuopio,161
Hameenlinna,Lahti,36
Hameenlinna,Lappeenranta,23
Hameenlinna,Other,130
Hameenlinna,Oulu,18
Hameenlinna,Tampere,188
Hameenlinna,Turku,73
Helsinki,Espoo,19962
Helsinki,Hameenlinna,238
Helsinki,Helsinki,1853770
Helsinki,Jarvenpaa,35
Helsinki,Joensuu,4787
Helsinki,Jyvaskyla,152512
Helsinki,Kotka,219
Helsinki,Kuopio,36696
Helsinki,Lahti,579
Helsinki,Lappeenranta,790594
Helsinki,Lohja,43
Helsinki,Mikkeli,172
Helsinki,Other,27581
Helsinki,Oulu,32693
Helsinki,Pori,168
Helsinki,Porvoo,98
Helsinki,Rauma,23
Helsinki,Tampere,33174
Helsinki,Turku,35860
Helsinki,Vaasa,6165
Helsinki,Vantaa,1832
Jarvenpaa,Helsinki,46
Jarvenpaa,Jarvenpaa,52
Jarvenpaa,Jyvaskyla,7
Jarvenpaa,Lappeenranta,5
Jarvenpaa,Other,2
Jarvenpaa,Tampere,1
Jarvenpaa,Turku,3
Joensuu,Espoo,289
Joensuu,Hameenlinna,29
Joensuu,Helsinki,3777
Joensuu,Joensuu,10115
Joensuu,Jyvaskyla,1387
Joensuu,Kotka,18
Joensuu,Kuopio,1927
Joensuu,Lahti,23
Joensuu,Lappeenranta,90
Joensuu,Mikkeli,57
Joensuu,Other,1388
Joensuu,Oulu,1069
Joensuu,Pori,32
Joensuu,Porvoo,48
Joensuu,Tampere,1465
Joensuu,Turku,2448
Joensuu,Vaasa,10
Joensuu,Vantaa,294
Jyvaskyla,Espoo,881
Jyvaskyla,Hameenlinna,31
Jyvaskyla,Helsinki,152966
Jyvaskyla,Jarvenpaa,5
Jyvaskyla,Joensuu,684
Jyvaskyla,Jyvaskyla,75297
Jyvaskyla,Kotka,13
Jyvaskyla,Kuopio,2652
Jyvaskyla,Lahti,39
Jyvaskyla,Lappeenranta,587
Jyvaskyla,Lohja,7
Jyvaskyla,Mikkeli,69
Jyvaskyla,Other,1361
Jyvaskyla,Oulu,2638
Jyvaskyla,Pori,68
Jyvaskyla,Rauma,22
Jyvaskyla,Tampere,4245
Jyvaskyla,Turku,1834
Jyvaskyla,Vaasa,39
Jyvaskyla,Vantaa,138
Kotka,Espoo,21
Kotka,Helsinki,158
Kotka,Joensuu,1
Kotka,Jyvaskyla,29
Kotka,Kotka,259
Kotka,Kuopio,35
Kotka,Lahti,43
Kotka,Lappeenranta,15
Kotka,Mikkeli,15
Kotka,Other,21
Kotka,Oulu,7
Kotka,Pori,16
Kotka,Tampere,41
Kotka,Turku,51
Kotka,Vantaa,14
Kuopio,Espoo,1069
Kuopio,Hameenlinna,60
Kuopio,Helsinki,32267
Kuopio,Joensuu,2036
Kuopio,Jyvaskyla,5044
Kuopio,Kotka,73
Kuopio,Kuopio,182824
Kuopio,Lahti,65
Kuopio,Lappeenranta,200
Kuopio,Lohja,2
Kuopio,Mikkeli,399
Kuopio,Other,2023
Kuopio,Oulu,12995
Kuopio,Pori,107
Kuopio,Porvoo,19
Kuopio,Rauma,8
Kuopio,Tampere,7701
Kuopio,Turku,5998
Kuopio,Vaasa,149
Kuopio,Vantaa,155
Lahti,Espoo,38
Lahti,Hameenlinna,22
Lahti,Helsinki,492
Lahti,Joensuu,36
Lahti,Jyvaskyla,106
Lahti,Kotka,11
Lahti,Kuopio,69
Lahti,Lahti,927
Lahti,Lappeenranta,21
Lahti,Mikkeli,11
Lahti,Other,112
Lahti,Oulu,149
Lahti,Pori,1
Lahti,Tampere,347
Lahti,Turku,154
Lahti,Vaasa,43
Lahti,Vantaa,4
Lappeenranta,Espoo,311
Lappeenranta,Hameenlinna,24
Lappeenranta,Helsinki,784003
Lappeenranta,Jarvenpaa,6
Lappeenranta,Joensuu,89
Lappeenranta,Jyvaskyla,419
Lappeenranta,Kotka,19
Lappeenranta,Kuopio,308
Lappeenranta,Lahti,34
Lappeenranta,Lappeenranta,101749
Lappeenranta,Mikkeli,61
Lappeenranta,Other,443
Lappeenranta,Oulu,584
Lappeenranta,Pori,62
Lappeenranta,Porvoo,8
Lappeenranta,Tampere,1413
Lappeenranta,Turku,683
Lappeenranta,Vaasa,40
Lappeenranta,Vantaa,61
Lohja,Espoo,13
Lohja,Helsinki,65
Lohja,Jyvaskyla,2
Lohja,Kuopio,1
Lohja,Lappeenranta,2
Lohja,Lohja,125
Lohja,Other,14
Lohja,Oulu,8
Lohja,Tampere,24
Lohja,Turku,74
Mikkeli,Espoo,22
Mikkeli,Helsinki,187
Mikkeli,Joensuu,258
Mikkeli,Jyvaskyla,76
Mikkeli,Kotka,10
Mikkeli,Kuopio,195
Mikkeli,Lahti,23
Mikkeli,Lappeenranta,78
Mikkeli,Mikkeli,994
Mikkeli,Other,120
Mikkeli,Oulu,106
Mikkeli,Pori,3
Mikkeli,Porvoo,33
Mikkeli,Tampere,10
Mikkeli,Turku,85
Mikkeli,Vaasa,1
Mikkeli,Vantaa,55
Nurmijarvi,Helsinki,10
Nurmijarvi,Kuopio,1
Nurmijarvi,Nurmijarvi,11
Nurmijarvi,Tampere,3
Other,Espoo,5027
Other,Hameenlinna,100
Other,Helsinki,35266
Other,Jarvenpaa,16
Other,Joensuu,1016
Other,Jyvaskyla,1296
Other,Kotka,63
Other,Kuopio,3072
Other,Lahti,117
Other,Lappeenranta,369
Other,Lohja,8
Other,Mikkeli,124
Other,Other,66814
Other,Oulu,3112
Other,Pori,153
Other,Porvoo,51
Other,Rauma,12
Other,Tampere,3965
Other,Turku,8239
Other,Vaasa,201
Other,Vantaa,419
Oulu,Espoo,1179
Oulu,Hameenlinna,48
Oulu,Helsinki,30249
Oulu,Joensuu,1403
Oulu,Jyvaskyla,3738
Oulu,Kotka,3
Oulu,Kuopio,11788
Oulu,Lahti,129
Oulu,Lappeenranta,185
Oulu,Lohja,5
Oulu,Mikkeli,109
Oulu,Other,4206
Oulu,Oulu,235355
Oulu,Pori,104
Oulu,Porvoo,7
Oulu,Rauma,10
Oulu,Tampere,8070
Oulu,Turku,17103
Oulu,Vaasa,718
Oulu,Vantaa,239
Pori,Espoo,25
Pori,Hameenlinna,33
Pori,Helsinki,483
Pori,Joensuu,4
Pori,Jyvaskyla,32
Pori,Kotka,32
Pori,Kuopio,91
Pori,Lahti,18
Pori,Lappeenranta,22
Pori,Lohja,12
Pori,Mikkeli,2
Pori,Other,188
Pori,Oulu,102
Pori,Pori,1101
Pori,Porvoo,7
Pori,Tampere,336
Pori,Turku,602
Pori,Vaasa,34
Porvoo,Espoo,14
Porvoo,Helsinki,113
Porvoo,Joensuu,25
Porvoo,Jyvaskyla,17
Porvoo,Kuopio,10
Porvoo,Lappeenranta,9
Porvoo,Other,65
Porvoo,Oulu,5
Porvoo,Porvoo,131
Porvoo,Tampere,14
Porvoo,Turku,88
Porvoo,Vantaa,3
Rauma,Espoo,18
Rauma,Helsinki,16
Rauma,Kuopio,23
Rauma,Other,2
Rauma,Oulu,12
Rauma,Rauma,51
Rauma,Tampere,24
Rauma,Turku,25
Tampere,Espoo,1737
Tampere,Hameenlinna,175
Tampere,Helsinki,36984
Tampere,Jarvenpaa,1
Tampere,Joensuu,2688
Tampere,Jyvaskyla,2791
Tampere,Kotka,11
Tampere,Kuopio,5535
Tampere,Lahti,312
Tampere,Lappeenranta,478
Tampere,Lohja,26
Tampere,Mikkeli,98
Tampere,Nurmijarvi,6
Tampere,Other,2851
Tampere,Oulu,5861
Tampere,Pori,218
Tampere,Porvoo,19
Tampere,Rauma,11
Tampere,Tampere,196352
Tampere,Turku,16306
Tampere,Vaasa,543
Tampere,Vantaa,136
Turku,Espoo,1667
Turku,Hameenlinna,49
Turku,Helsinki,37806
Turku,Jarvenpaa,3
Turku,Joensuu,628
Turku,Jyvaskyla,2166
Turku,Kotka,30
Turku,Kuopio,6202
Turku,Lahti,181
Turku,Lappeenranta,1216
Turku,Lohja,132
Turku,Mikkeli,107
Turku,Other,7760
Turku,Oulu,18987
Turku,Pori,1025
Turku,Porvoo,71
Turku,Rauma,1
Turku,Tampere,12863
Turku,Turku,242291
Turku,Vaasa,362
Turku,Vantaa,143
Vaasa,Espoo,49
Vaasa,Helsinki,3819
Vaasa,Joensuu,41
Vaasa,Jyvaskyla,124
Vaasa,Kuopio,533
Vaasa,Lahti,3
Vaasa,Lappeenranta,102
Vaasa,Mikkeli,16
Vaasa,Other,1335
Vaasa,Oulu,725
Vaasa,Pori,49
Vaasa,Tampere,657
Vaasa,Turku,461
Vaasa,Vaasa,9363
Vantaa,Espoo,199
Vantaa,Hameenlinna,7
Vantaa,Helsinki,1825
Vantaa,Joensuu,243
Vantaa,Jyvaskyla,82
Vantaa,Kotka,1
Vantaa,Kuopio,102
Vantaa,Lahti,7
Vantaa,Lappeenranta,18
Vantaa,Mikkeli,15
Vantaa,Nurmijarvi,10
Vantaa,Other,519
Vantaa,Oulu,210
Vantaa,Pori,7
Vantaa,Porvoo,3
Vantaa,Rauma,1
Vantaa,Tampere,157
Vantaa,Turku,142
Vantaa,Vaasa,12
Vantaa,Vantaa,1750
