From,To,Times
Espoo,Espoo,48172
Espoo,Hameenlinna,9
Espoo,Helsinki,19897
Espoo,Jarvenpaa,11
Espoo,Joensuu,523
Espoo,Jyvaskyla,1056
Espoo,Kotka,8
Espoo,Kuopio,1878
Espoo,Lahti,28
Espoo,Lappeenranta,499
Espoo,Lohja,25
Espoo,Mikkeli,30
Espoo,Other,21913
Espoo,Oulu,1761
Espoo,Pori,68
Espoo,Porvoo,104
Espoo,Rauma,29
Espoo,Tampere,3293
Espoo,Turku,4760
Espoo,Vaasa,87
Espoo,Vantaa,332
Hameenlinna,Espoo,17
Hameenlinna,Hameenlinna,837
Hameenlinna,Helsinki,397
Hameenlinna,Joensuu,2
Hameenlinna,Jyvaskyla,18
Hameenlinna,Kuopio,282
Hameenlinna,Lahti,46
Hameenlinna,Lappeenranta,23
Hameenlinna,Other,273
Hameenlinna,Oulu,60
Hameenlinna,Tampere,387
Hameenlinna,Turku,123
Hameenlinna,Vaasa,1
Helsinki,Espoo,35065
Helsinki,Hameenlinna,409
Helsinki,Helsinki,3257885
Helsinki,Jarvenpaa,58
Helsinki,Joensuu,6823
Helsinki,Jyvaskyla,191681
Helsinki,Kotka,385
Helsinki,Kuopio,54759
Helsinki,Lahti,1344
Helsinki,Lappeenranta,1283959
Helsinki,Lohja,69
Helsinki,Mikkeli,432
Helsinki,Nurmijarvi,1
Helsinki,Other,47942
Helsinki,Oulu,58289
Helsinki,Pori,433
Helsinki,Porvoo,229
Helsinki,Rauma,53
Helsinki,Tampere,54926
Helsinki,Turku,58412
Helsinki,Vaasa,11344
Helsinki,Vantaa,3782
Jarvenpaa,Espoo,8
Jarvenpaa,Helsinki,58
Jarvenpaa,Jarvenpaa,64
Jarvenpaa,Jyvaskyla,7
Jarvenpaa,Kuopio,1
Jarvenpaa,Lappeenranta,6
Jarvenpaa,Other,29
Jarvenpaa,Tampere,1
Jarvenpaa,Turku,8
Joensuu,Espoo,556
Joensuu,Hameenlinna,29
Joensuu,Helsinki,5743
Joensuu,Joensuu,16610
Joensuu,Jyvaskyla,1992
Joensuu,Kotka,41
Joensuu,Kuopio,2783
Joensuu,Lahti,29
Joensuu,Lappeenranta,163
Joensuu,Lohja,2
Joensuu,Mikkeli,81
Joensuu,Other,2441
Joensuu,Oulu,1628
Joensuu,Pori,59
Joensuu,Porvoo,117
Joensuu,Tampere,1850
Joensuu,Turku,2954
Joensuu,Vaasa,48
Joensuu,Vantaa,746
Jyvaskyla,Espoo,1288
Jyvaskyla,Hameenlinna,39
Jyvaskyla,Helsinki,193541
Jyvaskyla,Jarvenpaa,6
Jyvaskyla,Joensuu,1203
Jyvaskyla,Jyvaskyla,209760
Jyvaskyla,Kotka,61
Jyvaskyla,Kuopio,4510
Jyvaskyla,Lahti,133
Jyvaskyla,Lappeenranta,731
Jyvaskyla,Lohja,7
Jyvaskyla,Mikkeli,110
Jyvaskyla,Other,2720
Jyvaskyla,Oulu,4340
Jyvaskyla,Pori,124
Jyvaskyla,Rauma,23
Jyvaskyla,Tampere,6428
Jyvaskyla,Turku,3606
Jyvaskyla,Vaasa,85
Jyvaskyla,Vantaa,236
Kotka,Espoo,21
Kotka,Hameenlinna,16
Kotka,Helsinki,297
Kotka,Joensuu,31
Kotka,Jyvaskyla,54
Kotka,Kotka,414
Kotka,Kuopio,152
Kotka,Lahti,75
Kotka,Lappeenranta,19
Kotka,Mikkeli,19
Kotka,Other,60
Kotka,Oulu,45
Kotka,Pori,27
Kotka,Tampere,114
Kotka,Turku,78
Kotka,Vantaa,14
Kuopio,Espoo,2197
Kuopio,Hameenlinna,97
Kuopio,Helsinki,50924
Kuopio,Joensuu,3184
Kuopio,Jyvaskyla,6356
Kuopio,Kotka,199
Kuopio,Kuopio,287180
Kuopio,Lahti,228
Kuopio,Lappeenranta,446
Kuopio,Lohja,2
Kuopio,Mikkeli,827
Kuopio,Other,4510
Kuopio,Oulu,22393
Kuopio,Pori,167
Kuopio,Porvoo,25
Kuopio,Rauma,46
Kuopio,Tampere,11628
Kuopio,Turku,9801
Kuopio,Vaasa,1514
Kuopio,Vantaa,295
Lahti,Espoo,46
Lahti,Hameenlinna,71
Lahti,Helsinki,1506
Lahti,Joensuu,50
Lahti,Jyvaskyla,168
Lahti,Kotka,23
Lahti,Kuopio,237
Lahti,Lahti,2063
Lahti,Lappeenranta,52
Lahti,Mikkeli,12
Lahti,Other,186
Lahti,Oulu,438
Lahti,Pori,27
Lahti,Tampere,900
Lahti,Turku,313
Lahti,Vaasa,47
Lahti,Vantaa,8
Lappeenranta,Espoo,625
Lappeenranta,Hameenlinna,24
Lappeenranta,Helsinki,1274989
Lappeenranta,Jarvenpaa,6
Lappeenranta,Joensuu,143
Lappeenranta,Jyvaskyla,1133
Lappeenranta,Kotka,19
Lappeenranta,Kuopio,1388
Lappeenranta,Lahti,46
Lappeenranta,Lappeenranta,160026
Lappeenranta,Mikkeli,204
Lappeenranta,Other,888
Lappeenranta,Oulu,1108
Lappeenranta,Pori,81
Lappeenranta,Porvoo,39
Lappeenranta,Tampere,1600
Lappeenranta,Turku,1142
Lappeenranta,Vaasa,72
Lappeenranta,Vantaa,84
Lohja,Espoo,17
Lohja,Helsinki,92
Lohja,Joensuu,6
Lohja,Jyvaskyla,3
Lohja,Kuopio,2
Lohja,Lappeenranta,2
Lohja,Lohja,160
Lohja,Other,24
Lohja,Oulu,12
Lohja,Tampere,25
Lohja,Turku,88
Lohja,Vantaa,6
Mikkeli,Espoo,40
Mikkeli,Hameenlinna,1
Mikkeli,Helsinki,441
Mikkeli,Joensuu,315
Mikkeli,Jyvaskyla,127
Mikkeli,Kotka,23
Mikkeli,Kuopio,549
Mikkeli,Lahti,28
Mikkeli,Lappeenranta,292
Mikkeli,Mikkeli,1668
Mikkeli,Other,247
Mikkeli,Oulu,167
Mikkeli,Pori,3
Mikkeli,Porvoo,33
Mikkeli,Rauma,1
Mikkeli,Tampere,55
Mikkeli,Turku,109
Mikkeli,Vaasa,17
Mikkeli,Vantaa,55
Nurmijarvi,Helsinki,13
Nurmijarvi,Kuopio,1
Nurmijarvi,Nurmijarvi,12
Nurmijarvi,Tampere,3
Other,Espoo,8580
Other,Hameenlinna,187
Other,Helsinki,57604
Other,Jarvenpaa,42
Other,Joensuu,1993
Other,Jyvaskyla,3256
Other,Kotka,105
Other,Kuopio,6162
Other,Lahti,363
Other,Lappeenranta,580
Other,Lohja,14
Other,Mikkeli,247
Other,Other,96880
Other,Oulu,8220
Other,Pori,272
Other,Porvoo,109
Other,Rauma,137
Other,Tampere,6709
Other,Turku,15804
Other,Vaasa,352
Other,Vantaa,1001
Oulu,Espoo,1987
Oulu,Hameenlinna,96
Oulu,Helsinki,55646
Oulu,Joensuu,1937
Oulu,Jyvaskyla,5666
Oulu,Kotka,18
Oulu,Kuopio,20840
Oulu,Lahti,377
Oulu,Lappeenranta,1304
Oulu,Lohja,5
Oulu,Mikkeli,176
Oulu,Other,8586
Oulu,Oulu,363263
Oulu,Pori,278
Oulu,Porvoo,29
Oulu,Rauma,19
Oulu,Tampere,14526
Oulu,Turku,24857
Oulu,Vaasa,1144
Oulu,Vantaa,334
Pori,Espoo,58
Pori,Hameenlinna,58
Pori,Helsinki,691
Pori,Joensuu,21
Pori,Jyvaskyla,92
Pori,Kotka,32
Pori,Kuopio,166
Pori,Lahti,20
Pori,Lappeenranta,34
Pori,Lohja,12
Pori,Mikkeli,2
Pori,Other,278
Pori,Oulu,275
Pori,Pori,1802
Pori,Porvoo,7
Pori,Rauma,13
Pori,Tampere,589
Pori,Turku,1138
Pori,Vaasa,40
Pori,Vantaa,12
Porvoo,Espoo,68
Porvoo,Helsinki,242
Porvoo,Joensuu,85
Porvoo,Jyvaskyla,20
Porvoo,Kuopio,19
Porvoo,Lappeenranta,33
Porvoo,Other,128
Porvoo,Oulu,17
Porvoo,Porvoo,235
Porvoo,Tampere,22
Porvoo,Turku,203
Porvoo,Vaasa,1
Porvoo,Vantaa,4
Rauma,Espoo,19
Rauma,Helsinki,35
Rauma,Jyvaskyla,56
Rauma,Kuopio,32
Rauma,Lappeenranta,5
Rauma,Other,30
Rauma,Oulu,30
Rauma,Rauma,104
Rauma,Tampere,50
Rauma,Turku,66
Tampere,Espoo,3029
Tampere,Hameenlinna,435
Tampere,Helsinki,56756
Tampere,Jarvenpaa,6
Tampere,Joensuu,3097
Tampere,Jyvaskyla,4569
Tampere,Kotka,36
Tampere,Kuopio,9306
Tampere,Lahti,1070
Tampere,Lappeenranta,969
Tampere,Lohja,27
Tampere,Mikkeli,142
Tampere,Nurmijarvi,6
Tampere,Other,6495
Tampere,Oulu,10412
Tampere,Pori,417
Tampere,Porvoo,33
Tampere,Rauma,23
Tampere,Tampere,308372
Tampere,Turku,26768
Tampere,Vaasa,1000
Tampere,Vantaa,222
Turku,Espoo,3370
Turku,Hameenlinna,75
Turku,Helsinki,61406
Turku,Jarvenpaa,8
Turku,Joensuu,1061
Turku,Jyvaskyla,3959
Turku,Kotka,74
Turku,Kuopio,10321
Turku,Lahti,362
Turku,Lappeenranta,1574
Turku,Lohja,146
Turku,Mikkeli,121
Turku,Other,15854
Turku,Oulu,26606
Turku,Pori,1590
Turku,Porvoo,205
Turku,Rauma,19
Turku,Tampere,21500
Turku,Turku,391274
Turku,Vaasa,614
Turku,Vantaa,308
Vaasa,Espoo,59
Vaasa,Hameenlinna,42
Vaasa,Helsinki,7628
Vaasa,Joensuu,62
Vaasa,Jyvaskyla,195
Vaasa,Kotka,42
Vaasa,Kuopio,1146
Vaasa,Lahti,4
Vaasa,Lappeenranta,328
Vaasa,Mikkeli,21
Vaasa,Other,1483
Vaasa,Oulu,2535
Vaasa,Pori,51
Vaasa,Porvoo,1
Vaasa,Tampere,1297
Vaasa,Turku,824
Vaasa,Vaasa,14192
Vaasa,Vantaa,41
Vantaa,Espoo,338
Vantaa,Hameenlinna,14
Vantaa,Helsinki,3563
Vantaa,Joensuu,536
Vantaa,Jyvaskyla,184
Vantaa,Kotka,1
Vantaa,Kuopio,208
Vantaa,Lahti,8
Vantaa,Lappeenranta,28
Vantaa,Lohja,6
Vantaa,Mikkeli,19
Vantaa,Nurmijarvi,10
Vantaa,Other,1206
Vantaa,Oulu,356
Vantaa,Pori,15
Vantaa,Porvoo,3
Vantaa,Rauma,1
Vantaa,Tampere,218
Vantaa,Turku,366
Vantaa,Vaasa,35
Vantaa,Vantaa,3028
